opportunity_id,lead_id,deal_value,stage,owner,open_date,expected_close_date,actual_close_date
O24037,L16718,13329,Closed-Lost,Jeffrey Garrison,2017-02-07,2017-03-30,2017-04-02
O24038,L16720,7816,Closed-Won,Shannon Rivera,2017-02-20,2017-05-16,2017-05-28
O24039,L16722,913,Closed-Lost,Amanda Scott,2017-02-16,2017-03-28,2017-04-16
O24040,L16728,16895,Closed-Lost,Maria Mcfarland,2017-02-12,2017-05-05,2017-06-01
O24041,L16729,23844,Closed-Won,Matthew Lopez,2017-02-26,2017-04-11,2017-04-14
O24042,L16730,9271,Closed-Lost,Kristi Gomez,2017-02-20,2017-03-21,2017-03-16
O24043,L16731,14073,Closed-Won,Anthony Caldwell,2017-02-19,2017-05-12,2017-05-07
O24044,L16732,1006,Closed-Lost,Angelica Higgins,2017-02-16,2017-04-07,2017-04-26
O24045,L16733,8696,Closed-Lost,Kenneth Mack,2017-02-09,2017-04-23,2017-05-11
O24046,L16735,2929,Closed-Lost,Ruth Bailey,2017-02-09,2017-03-17,2017-03-20
O24047,L16736,9755,Closed-Won,John Atkinson,2017-02-22,2017-05-19,2017-05-15
O24048,L16737,80418,Closed-Lost,Mr. Roberto Clements,2017-02-08,2017-04-03,2017-04-10
O24049,L16738,12743,Closed-Won,Ruben Perkins,2017-02-12,2017-04-13,2017-05-01
O24050,L16741,10286,Closed-Lost,Troy Mitchell,2017-02-19,2017-05-14,2017-05-15
O24051,L16742,9639,Closed-Won,Sean Silva,2017-02-11,2017-04-26,2017-05-05
O24052,L16743,14397,Closed-Lost,Brian Campbell,2017-02-26,2017-04-13,2017-05-03
O24053,L16746,67082,Closed-Won,Peter Garrison,2017-02-21,2017-04-17,2017-04-19
O24054,L16747,2598,Closed-Lost,Jennifer Ayers,2017-02-12,2017-05-10,2017-05-16
O24055,L16748,22308,Closed-Won,Eric Richard,2017-02-26,2017-04-25,2017-04-24
O24056,L16749,286176,Closed-Lost,Brandon Jimenez,2017-02-24,2017-04-15,2017-05-13
O24057,L16750,99288,Closed-Lost,Ashley Blake,2017-02-19,2017-04-13,2017-05-13
O24058,L16751,1721,Closed-Lost,Taylor Griffin,2017-02-24,2017-04-25,2017-05-18
O24059,L16755,17736,Closed-Won,Carrie Johnson,2017-02-23,2017-05-14,2017-05-24
O24060,L16757,27591,Closed-Won,Danielle Buchanan,2017-03-01,2017-05-09,2017-05-01
O24061,L16760,4838,Closed-Lost,Dawn Palmer,2017-02-16,2017-03-30,2017-04-06
O24062,L16764,11880,Closed-Lost,Kelsey Gomez,2017-03-04,2017-05-14,2017-05-12
O24063,L16766,15078,Closed-Lost,Mr. Jesse Lopez,2017-02-19,2017-03-16,2017-04-05
O24064,L16767,8327,Closed-Lost,Andrea Smith,2017-02-20,2017-03-19,2017-04-14
O24065,L16768,6623,Closed-Lost,Andrea Shaffer,2017-02-14,2017-03-28,2017-03-28
O24066,L16770,296597,Closed-Lost,Christopher Mcdonald,2017-03-03,2017-05-09,2017-05-25
O24067,L16771,44137,Closed-Lost,Grant Holt,2017-02-18,2017-04-28,2017-05-05
O24068,L16772,11287,Closed-Lost,Samantha Merritt,2017-02-15,2017-03-23,2017-04-08
O24069,L16773,5408,Closed-Lost,Lisa Floyd,2017-02-22,2017-04-15,2017-04-18
O24070,L16774,52892,Closed-Lost,Timothy Ramos,2017-02-21,2017-03-31,2017-04-10
O24071,L16775,1982,Closed-Lost,Chelsea Dalton,2017-02-26,2017-04-04,2017-04-23
O24072,L16778,3787,Closed-Lost,Dawn Torres,2017-02-26,2017-05-24,2017-06-03
O24073,L16779,1242,Closed-Lost,Erik Perez,2017-02-28,2017-05-15,2017-06-10
O24074,L16780,1972,Closed-Won,Victoria Roach,2017-03-05,2017-04-01,2017-03-30
O24075,L16783,2863,Closed-Lost,Christina Garrett,2017-02-22,2017-04-22,2017-05-02
O24076,L16784,5343,Closed-Lost,David Lowery,2017-03-03,2017-03-26,2017-03-24
O24077,L16786,21939,Closed-Lost,James Simmons,2017-02-22,2017-05-06,2017-05-21
O24078,L16789,152858,Closed-Lost,Dylan Fields,2017-02-23,2017-04-01,2017-05-01
O24079,L16790,7952,Closed-Lost,Crystal Perez,2017-02-18,2017-03-23,2017-03-21
O24080,L16791,51436,Closed-Won,Jason Heath,2017-03-09,2017-04-27,2017-05-02
O24081,L16793,17996,Closed-Lost,Jennifer Smith,2017-03-04,2017-04-07,2017-04-25
O24082,L16796,2353,Closed-Lost,William Callahan,2017-02-24,2017-03-24,2017-04-01
O24083,L16799,21367,Closed-Won,Anthony Dawson,2017-03-01,2017-03-29,2017-04-15
O24084,L16800,3733,Closed-Lost,Scott Gonzalez,2017-03-03,2017-05-19,2017-06-01
O24085,L16801,1089,Closed-Lost,Sarah Alexander,2017-03-08,2017-04-23,2017-04-22
O24086,L16803,7576,Closed-Lost,Heather Garcia,2017-02-22,2017-04-23,2017-04-18
O24087,L16804,365513,Closed-Lost,Daisy Villanueva,2017-03-04,2017-04-04,2017-04-21
O24088,L16806,17513,Closed-Lost,Laura Kim,2017-03-11,2017-04-30,2017-04-26
O24089,L16807,145551,Closed-Lost,Michelle Coleman,2017-02-22,2017-03-21,2017-04-14
O24090,L16808,153017,Closed-Lost,Allison Bowman,2017-03-11,2017-04-26,2017-05-02
O24091,L16809,8523,Closed-Lost,William Graham,2017-03-03,2017-04-28,2017-05-23
O24092,L16811,2994,Closed-Lost,Mrs. Amanda Martinez,2017-03-10,2017-04-16,2017-04-12
O24093,L16812,15472,Closed-Won,Christopher Edwards,2017-02-25,2017-03-21,2017-03-26
O24094,L16813,1797,Closed-Lost,Denise Wilson,2017-03-08,2017-04-10,2017-04-18
O24095,L16814,24954,Closed-Lost,Rachel Torres,2017-03-04,2017-04-02,2017-04-02
O24096,L16817,3563,Closed-Lost,Rose Williams,2017-03-12,2017-04-29,2017-05-20
O24097,L16818,12797,Closed-Lost,Teresa Young,2017-03-11,2017-05-10,2017-05-05
O24098,L16821,32588,Closed-Won,Theresa Hall,2017-02-25,2017-05-21,2017-05-28
O24099,L16822,7725,Closed-Lost,Madison Pitts,2017-02-27,2017-03-23,2017-04-10
O24100,L16825,11478,Closed-Lost,Gerald Joseph,2017-02-26,2017-03-26,2017-04-12
O24101,L16826,53310,Closed-Lost,Christopher Tucker,2017-03-01,2017-04-09,2017-04-04
O24102,L16828,19099,Closed-Lost,Michael Brown,2017-02-26,2017-04-12,2017-05-04
O24103,L16829,22510,Closed-Lost,Monica Watson,2017-03-04,2017-04-06,2017-04-10
O24104,L16834,50712,Closed-Lost,Veronica Holt,2017-03-16,2017-06-06,2017-06-10
O24105,L16835,45691,Closed-Won,Vincent Martinez,2017-03-03,2017-05-04,2017-05-19
O24106,L16837,58547,Closed-Lost,Emma Carter DDS,2017-03-15,2017-05-15,2017-05-16
O24107,L16838,2738,Closed-Lost,Christina Mcdaniel,2017-02-26,2017-05-10,2017-05-27
O24108,L16840,44879,Closed-Lost,Michael Yang,2017-03-11,2017-05-20,2017-05-28
O24109,L16843,17534,Closed-Lost,Caroline Barnes,2017-03-08,2017-03-31,2017-04-05
O24110,L16845,19610,Closed-Won,Clarence Mitchell,2017-03-14,2017-05-06,2017-05-15
O24111,L16846,56063,Closed-Lost,Brett Wolfe,2017-03-17,2017-04-23,2017-05-01
O24112,L16847,3709,Closed-Lost,Kimberly Boyd,2017-03-17,2017-05-18,2017-05-22
O24113,L16850,22902,Closed-Lost,Michael Cook,2017-03-14,2017-05-07,2017-05-24
O24114,L16851,99871,Closed-Lost,John Miller,2017-03-19,2017-05-02,2017-05-10
O24115,L16852,78192,Closed-Lost,Kristen Baker,2017-03-13,2017-05-28,2017-06-11
O24116,L16853,2373,Closed-Won,Bridget Wilson,2017-03-05,2017-05-13,2017-06-01
O24117,L16855,1712,Closed-Won,Andrew Conner,2017-03-05,2017-05-09,2017-05-12
O24118,L16856,102694,Closed-Lost,Angela Sanchez,2017-03-20,2017-04-23,2017-04-30
O24119,L16857,2777,Closed-Won,Vincent Hernandez,2017-03-02,2017-04-06,2017-04-20
O24120,L16858,7973,Closed-Lost,Alexis Ellis,2017-03-05,2017-04-09,2017-04-28
O24121,L16859,27281,Closed-Lost,Thomas Evans,2017-03-03,2017-05-16,2017-06-12
O24122,L16860,5049,Closed-Lost,Jasmin Edwards,2017-03-06,2017-04-13,2017-04-22
O24123,L16861,16177,Closed-Lost,Steven White,2017-03-17,2017-05-31,2017-06-13
O24124,L16862,35354,Closed-Lost,Kristy Mitchell,2017-03-21,2017-04-22,2017-05-18
O24125,L16864,4494,Closed-Lost,Daniel Jordan,2017-03-20,2017-05-12,2017-05-07
O24126,L16866,25357,Closed-Lost,Michael Watts,2017-03-16,2017-05-08,2017-05-12
O24127,L16867,3308,Closed-Lost,Kristina Nguyen,2017-03-23,2017-04-18,2017-05-05
O24128,L16868,7577,Closed-Won,Kelsey Bauer,2017-03-10,2017-04-07,2017-04-11
O24129,L16872,17144,Closed-Lost,Christine Maddox,2017-03-10,2017-05-13,2017-05-31
O24130,L16876,15966,Closed-Lost,David Walls,2017-03-12,2017-05-16,2017-05-23
O24131,L16877,29111,Closed-Lost,Martin Patel,2017-03-23,2017-04-18,2017-05-07
O24132,L16879,21435,Closed-Won,Sara Lopez,2017-03-07,2017-06-01,2017-06-07
O24133,L16880,13112,Closed-Lost,Kimberly Johnson,2017-03-12,2017-04-13,2017-05-08
O24134,L16881,43941,Closed-Lost,Angela Mullins,2017-03-08,2017-04-28,2017-05-20
O24135,L16883,129879,Closed-Lost,Robert Singleton,2017-03-21,2017-06-02,2017-06-02
O24136,L16887,2458,Closed-Lost,Jeremy Andersen,2017-03-10,2017-05-12,2017-06-10
O24137,L16888,14579,Closed-Lost,Gregory Klein,2017-03-10,2017-06-05,2017-06-26
O24138,L16892,8326,Closed-Lost,Matthew Perez,2017-03-23,2017-05-23,2017-06-14
O24139,L16893,14856,Closed-Lost,Brian Day,2017-03-27,2017-04-22,2017-04-22
O24140,L16895,39892,Closed-Won,Dwayne French,2017-03-28,2017-04-22,2017-04-16
O24141,L16898,19454,Closed-Lost,Richard Johnson,2017-03-14,2017-05-31,2017-06-01
O24142,L16901,17792,Closed-Lost,Robert Winters,2017-03-26,2017-06-08,2017-06-18
O24143,L16902,4152,Closed-Lost,Emily Ortega,2017-03-23,2017-05-08,2017-05-10
O24144,L16903,15271,Closed-Lost,Christina Choi,2017-03-13,2017-04-16,2017-05-10
O24145,L16904,9375,Closed-Lost,Elizabeth Hobbs,2017-03-15,2017-05-22,2017-05-24
O24146,L16905,4351,Closed-Lost,Benjamin Dominguez,2017-03-27,2017-06-18,2017-07-16
O24147,L16910,3595,Closed-Lost,Anna Hernandez,2017-03-25,2017-06-15,2017-06-19
O24148,L16913,68219,Closed-Lost,Glenda Robles,2017-03-27,2017-06-01,2017-05-28
O24149,L16914,60173,Closed-Lost,Brenda Chandler,2017-03-17,2017-05-22,2017-05-30
O24150,L16915,24957,Closed-Lost,Zachary Espinoza,2017-03-17,2017-06-15,2017-06-30
O24151,L16917,75701,Closed-Won,Mark Taylor,2017-04-02,2017-05-29,2017-06-16
O24152,L16918,705,Closed-Lost,Brenda Scott,2017-03-29,2017-06-06,2017-06-13
O24153,L16919,6026,Closed-Lost,Patrick Oliver,2017-03-23,2017-05-28,2017-06-09
O24154,L16921,3388,Closed-Won,Doris Dunn,2017-03-24,2017-04-15,2017-04-25
O24155,L16924,159693,Closed-Lost,John Parker,2017-03-25,2017-05-06,2017-05-25
O24156,L16928,99244,Closed-Lost,Kimberly Mckay,2017-03-19,2017-05-31,2017-06-15
O24157,L16929,4809,Closed-Lost,Robert Lawrence,2017-03-19,2017-04-10,2017-04-30
O24158,L16930,10134,Closed-Lost,Veronica Conrad,2017-03-21,2017-04-29,2017-05-11
O24159,L16931,3731,Closed-Lost,Marcus Brewer,2017-04-02,2017-06-09,2017-07-02
O24160,L16933,56216,Closed-Won,Tamara Brady,2017-03-28,2017-04-23,2017-04-20
O24161,L16935,1936,Closed-Lost,Michaela Anderson,2017-03-28,2017-04-20,2017-05-18
O24162,L16936,23400,Closed-Lost,Kendra Fitzgerald,2017-03-23,2017-04-27,2017-05-12
O24163,L16937,95312,Closed-Lost,Philip Parrish,2017-03-22,2017-06-02,2017-06-08
O24164,L16938,26712,Closed-Lost,Carla Lawrence,2017-03-19,2017-05-03,2017-05-02
O24165,L16939,1989,Closed-Lost,Anthony Adams,2017-04-04,2017-05-06,2017-05-23
O24166,L16940,4613,Closed-Won,Jacob Gray,2017-03-23,2017-06-19,2017-07-09
O24167,L16943,31508,Closed-Lost,Dr. Lisa Rhodes,2017-03-29,2017-04-25,2017-04-20
O24168,L16944,9802,Closed-Lost,Shelley Simmons,2017-03-19,2017-05-31,2017-06-09
O24169,L16950,5018,Closed-Lost,Deborah Young,2017-03-26,2017-04-19,2017-05-19
O24170,L16952,11531,Closed-Won,Jane Stanley,2017-04-01,2017-05-01,2017-04-29
O24171,L16953,93341,Closed-Won,Bethany Vega,2017-04-05,2017-05-26,2017-05-29
O24172,L16954,7241,Closed-Lost,Sarah Gonzalez,2017-03-21,2017-05-26,2017-06-23
O24173,L16956,73748,Closed-Lost,Thomas Martinez,2017-03-25,2017-05-26,2017-05-31
O24174,L16959,23697,Closed-Lost,Andrew Lee,2017-03-30,2017-06-03,2017-06-27
O24175,L16961,1333,Closed-Lost,Brittany Francis,2017-04-06,2017-05-19,2017-06-02
O24176,L16965,12478,Closed-Won,Lori Mcfarland,2017-03-29,2017-06-19,2017-07-06
O24177,L16967,46752,Closed-Lost,Madeline Meyers,2017-04-10,2017-07-08,2017-08-01
O24178,L16968,8809,Closed-Lost,Steven Harding,2017-04-08,2017-05-27,2017-06-22
O24179,L16970,55385,Closed-Lost,Anthony Cervantes,2017-03-29,2017-06-10,2017-07-05
O24180,L16972,136086,Closed-Lost,Randall Miranda MD,2017-03-24,2017-06-22,2017-07-13
O24181,L16973,25099,Closed-Lost,Briana Johnson,2017-03-23,2017-04-19,2017-05-07
O24182,L16974,28451,Closed-Won,Craig Powell,2017-04-12,2017-05-31,2017-05-27
O24183,L16975,18980,Closed-Lost,John Bennett,2017-04-10,2017-07-06,2017-07-17
O24184,L16976,57477,Closed-Won,Logan Mccarthy,2017-03-30,2017-04-26,2017-04-20
O24185,L16977,14203,Closed-Lost,Jeffery Mason,2017-03-24,2017-05-17,2017-05-25
O24186,L16979,7449,Closed-Lost,Christopher Gutierrez,2017-04-02,2017-06-03,2017-06-06
O24187,L16981,24611,Closed-Won,Robert Johnston,2017-04-01,2017-06-13,2017-06-09
O24188,L16982,5634,Closed-Lost,Terry Bauer Jr.,2017-03-30,2017-05-26,2017-05-28
O24189,L16984,12632,Closed-Won,Mrs. Crystal Brock,2017-04-01,2017-04-26,2017-05-01
O24190,L16985,4933,Closed-Won,Karen Peters,2017-04-11,2017-06-30,2017-07-20
O24191,L16987,3413,Closed-Lost,Sean King,2017-04-01,2017-06-24,2017-07-21
O24192,L16988,39063,Closed-Lost,Sherry Galvan,2017-04-02,2017-05-07,2017-05-17
O24193,L16990,19877,Closed-Lost,Jonathan Cunningham,2017-04-14,2017-06-21,2017-07-14
O24194,L16991,7972,Closed-Won,Sarah Cain,2017-04-10,2017-06-02,2017-06-14
O24195,L16992,10327,Closed-Won,Cindy Willis,2017-04-12,2017-05-02,2017-04-27
O24196,L16994,10954,Closed-Lost,Jennifer Lee,2017-04-05,2017-04-30,2017-05-29
O24197,L16995,44912,Closed-Lost,Amy Woods,2017-04-15,2017-07-02,2017-07-20
O24198,L16997,8286,Closed-Lost,William Strickland,2017-03-30,2017-05-18,2017-06-14
O24199,L16998,16325,Closed-Lost,Nicholas Vaughan,2017-04-17,2017-07-05,2017-07-27
O24200,L16999,36832,Closed-Won,Maria Owens,2017-04-04,2017-06-30,2017-06-22
O24201,L17001,61071,Closed-Lost,Linda Roberts,2017-04-01,2017-06-29,2017-07-27
O24202,L17002,23933,Closed-Lost,Stephanie Johnson,2017-04-06,2017-05-21,2017-05-28
O24203,L17003,60070,Closed-Lost,Brandon Campbell,2017-03-30,2017-04-27,2017-04-23
O24204,L17006,142949,Closed-Lost,Julie Webb,2017-04-02,2017-05-17,2017-06-06
O24205,L17007,16340,Closed-Lost,Richard Lopez,2017-04-06,2017-06-30,2017-07-19
O24206,L17008,10133,Closed-Lost,John Gonzalez,2017-04-11,2017-06-30,2017-07-01
O24207,L17010,7568,Closed-Lost,Veronica Douglas,2017-04-11,2017-05-20,2017-06-04
O24208,L17011,89282,Closed-Lost,Keith Wells,2017-04-01,2017-05-05,2017-05-15
O24209,L17013,6552,Closed-Lost,Jennifer Bishop,2017-04-05,2017-06-11,2017-07-09
O24210,L17014,11445,Closed-Lost,Christopher Williams,2017-04-15,2017-06-14,2017-07-02
O24211,L17015,5851,Closed-Lost,Cassandra Washington,2017-04-01,2017-05-29,2017-06-26
O24212,L17016,14471,Closed-Lost,Maria Baker,2017-04-18,2017-06-18,2017-06-29
O24213,L17017,8970,Closed-Lost,Tiffany Peterson,2017-04-07,2017-05-28,2017-06-01
O24214,L17018,7242,Closed-Won,Amy Jones,2017-04-14,2017-06-07,2017-05-31
O24215,L17019,11322,Closed-Lost,Veronica Davis,2017-04-17,2017-06-03,2017-06-14
O24216,L17020,78477,Closed-Lost,Angela Navarro,2017-04-05,2017-05-07,2017-05-14
O24217,L17021,32697,Closed-Lost,Johnny Gutierrez,2017-04-09,2017-06-27,2017-06-25
O24218,L17022,2756,Closed-Lost,Terry Krause,2017-04-03,2017-05-10,2017-05-13
O24219,L17023,17000,Closed-Lost,Jacob Long,2017-04-19,2017-06-30,2017-07-04
O24220,L17024,10795,Closed-Won,Shawn Robbins,2017-04-02,2017-06-05,2017-06-09
O24221,L17027,47623,Closed-Lost,Brianna Hensley,2017-04-06,2017-06-25,2017-06-30
O24222,L17028,20869,Closed-Lost,Brianna Sullivan,2017-04-07,2017-06-11,2017-06-26
O24223,L17031,4744,Closed-Lost,Shannon Richards,2017-04-23,2017-07-07,2017-07-18
O24224,L17032,1101,Closed-Lost,Briana Myers,2017-04-18,2017-06-15,2017-06-11
O24225,L17033,67532,Closed-Lost,Megan Perez,2017-04-05,2017-05-25,2017-05-25
O24226,L17034,28368,Closed-Lost,Brian Mccullough,2017-04-19,2017-06-29,2017-07-27
O24227,L17035,1316,Closed-Lost,Bryan Jackson,2017-04-05,2017-05-07,2017-05-13
O24228,L17036,3508,Closed-Lost,Kristina Hoover,2017-04-17,2017-05-16,2017-06-09
O24229,L17040,44057,Closed-Lost,Denise Campbell,2017-04-11,2017-06-30,2017-07-06
O24230,L17041,11368,Closed-Won,Ian Jones,2017-04-05,2017-05-28,2017-06-05
O24231,L17042,9341,Closed-Lost,Cameron Malone,2017-04-05,2017-06-22,2017-06-18
O24232,L17043,19649,Closed-Lost,Sarah Moore,2017-04-07,2017-07-02,2017-06-29
O24233,L17045,66197,Closed-Lost,David Barrett,2017-04-09,2017-07-08,2017-07-21
O24234,L17046,1877,Closed-Lost,Kenneth Powers,2017-04-21,2017-07-20,2017-07-20
O24235,L17047,31778,Closed-Lost,Heather Ryan,2017-04-10,2017-07-04,2017-07-28
O24236,L17050,4736,Closed-Lost,Caitlin Booker,2017-04-15,2017-06-07,2017-07-03
O24237,L17051,97345,Closed-Lost,Cathy Patel DDS,2017-04-23,2017-07-15,2017-08-04
O24238,L17052,43984,Closed-Won,Edward Cooper,2017-04-16,2017-06-11,2017-06-09
O24239,L17055,36903,Closed-Lost,Lindsey Henry,2017-04-14,2017-05-13,2017-05-14
O24240,L17056,72193,Closed-Lost,Steven Martin,2017-04-24,2017-07-05,2017-07-09
O24241,L17057,15557,Closed-Lost,Sarah Dean,2017-04-14,2017-06-27,2017-06-25
O24242,L17058,8040,Closed-Lost,Jessica Larson,2017-04-07,2017-05-11,2017-05-22
O24243,L17061,1764,Closed-Won,Joel Franco,2017-04-26,2017-05-17,2017-05-14
O24244,L17062,23435,Closed-Lost,Gabriel Bryant,2017-04-26,2017-07-07,2017-08-04
O24245,L17066,19902,Closed-Lost,Manuel Lee,2017-04-27,2017-06-04,2017-06-29
O24246,L17067,8834,Closed-Lost,Aaron Garza,2017-04-28,2017-06-24,2017-07-23
O24247,L17069,2538,Closed-Lost,Benjamin Bell,2017-04-10,2017-05-16,2017-05-23
O24248,L17070,37824,Closed-Lost,Matthew Peters,2017-04-26,2017-05-31,2017-06-09
O24249,L17072,1738,Closed-Lost,Jose Johnson,2017-04-11,2017-06-03,2017-06-13
O24250,L17074,11326,Closed-Lost,Deborah Johnson,2017-04-23,2017-06-12,2017-07-08
O24251,L17076,812,Closed-Lost,Carol Aguirre,2017-04-27,2017-06-07,2017-06-20
O24252,L17077,2206,Closed-Lost,Jennifer Hernandez,2017-04-13,2017-07-04,2017-08-01
O24253,L17078,5924,Closed-Lost,Rachel Townsend,2017-04-11,2017-06-17,2017-07-14
O24254,L17079,2779,Closed-Won,Whitney Martinez,2017-04-25,2017-06-02,2017-05-29
O24255,L17081,126673,Closed-Lost,Sarah Simpson,2017-04-27,2017-07-06,2017-08-05
O24256,L17083,5149,Closed-Won,Sean Myers,2017-04-17,2017-06-20,2017-06-17
O24257,L17084,131776,Closed-Lost,Brandon Sullivan,2017-05-01,2017-06-10,2017-07-06
O24258,L17086,5340,Closed-Lost,Maria Jackson,2017-04-27,2017-07-18,2017-07-14
O24259,L17087,5875,Closed-Won,Jonathan Chung Jr.,2017-04-28,2017-06-14,2017-06-30
O24260,L17090,7296,Closed-Lost,Kathryn Stevenson,2017-04-15,2017-05-10,2017-05-29
O24261,L17091,19226,Closed-Won,William Sanchez,2017-04-20,2017-06-05,2017-06-17
O24262,L17094,117831,Closed-Lost,Mary Walter,2017-04-20,2017-05-24,2017-05-29
O24263,L17095,33488,Closed-Lost,Albert Butler,2017-05-03,2017-06-26,2017-07-06
O24264,L17096,7328,Closed-Lost,Brittany Hansen DDS,2017-04-15,2017-06-09,2017-06-09
O24265,L17097,2910,Closed-Lost,Mrs. Frances Cox MD,2017-04-25,2017-07-07,2017-07-16
O24266,L17098,42665,Closed-Lost,James Diaz,2017-04-18,2017-06-03,2017-06-26
O24267,L17099,476,Closed-Lost,Laura Brewer,2017-04-17,2017-05-13,2017-05-18
O24268,L17100,1318,Closed-Won,Sandra Jones,2017-04-25,2017-06-13,2017-06-07
O24269,L17102,77653,Closed-Lost,Alyssa Parker,2017-04-21,2017-06-18,2017-07-11
O24270,L17103,47408,Closed-Lost,Shannon Rowe,2017-04-24,2017-06-07,2017-07-04
O24271,L17106,1125,Closed-Lost,Antonio Ross,2017-05-04,2017-07-28,2017-08-21
O24272,L17108,2921,Closed-Lost,Amber Price,2017-04-21,2017-07-20,2017-07-17
O24273,L17109,6903,Closed-Lost,Brandon Johns,2017-04-25,2017-07-15,2017-07-11
O24274,L17110,61975,Closed-Lost,Justin Trevino,2017-05-01,2017-06-02,2017-06-01
O24275,L17111,27126,Closed-Lost,Elizabeth Thomas,2017-04-26,2017-07-05,2017-07-07
O24276,L17114,32431,Closed-Lost,Edgar Espinoza,2017-04-27,2017-07-13,2017-08-06
O24277,L17115,19762,Closed-Lost,Cathy Petersen,2017-05-07,2017-06-16,2017-07-11
O24278,L17117,14858,Closed-Lost,Justin King,2017-04-27,2017-05-21,2017-06-18
O24279,L17121,3419,Closed-Lost,Veronica Herrera,2017-05-05,2017-06-12,2017-06-24
O24280,L17122,14151,Closed-Won,Catherine Gonzales,2017-04-27,2017-07-09,2017-07-14
O24281,L17124,4317,Closed-Lost,Aaron Sanders,2017-04-22,2017-06-04,2017-07-03
O24282,L17125,25440,Closed-Lost,Christopher Reyes,2017-04-21,2017-05-28,2017-05-28
O24283,L17129,40326,Closed-Won,Raymond Ross,2017-04-24,2017-07-23,2017-08-10
O24284,L17131,68802,Closed-Lost,Melissa White,2017-04-22,2017-07-18,2017-07-23
O24285,L17133,3596,Closed-Lost,Brianna Cameron,2017-05-08,2017-07-20,2017-07-18
O24286,L17134,151166,Closed-Lost,David Clark,2017-04-22,2017-06-28,2017-07-06
O24287,L17136,27149,Closed-Won,Ryan Wilson,2017-05-02,2017-06-13,2017-06-07
O24288,L17137,66257,Closed-Lost,Jennifer Watts,2017-05-08,2017-07-18,2017-08-11
O24289,L17138,5571,Closed-Lost,Kyle Hancock,2017-05-07,2017-05-31,2017-06-16
O24290,L17139,19886,Closed-Won,Brittany Smith,2017-05-03,2017-06-19,2017-07-03
O24291,L17143,3263,Closed-Lost,Marvin Soto,2017-04-27,2017-07-13,2017-07-31
O24292,L17145,6812,Closed-Lost,Jennifer Berry MD,2017-04-29,2017-06-22,2017-07-12
O24293,L17148,28550,Closed-Lost,Nancy Solomon,2017-05-05,2017-06-21,2017-07-02
O24294,L17149,51195,Closed-Won,Kendra Campbell,2017-05-08,2017-08-06,2017-08-03
O24295,L17152,4955,Closed-Won,Brandon Dillon,2017-04-28,2017-07-12,2017-07-22
O24296,L17153,30644,Closed-Lost,Christopher Ball,2017-05-02,2017-07-12,2017-07-20
O24297,L17154,9896,Closed-Won,David Golden,2017-04-29,2017-07-10,2017-07-17
O24298,L17155,3004,Closed-Lost,Amber Holland,2017-05-11,2017-08-04,2017-08-13
O24299,L17156,14666,Closed-Lost,April Ross,2017-05-03,2017-05-29,2017-06-11
O24300,L17157,28844,Closed-Won,Jason Davis,2017-05-06,2017-07-10,2017-07-12
O24301,L17158,13799,Closed-Lost,John Andrews,2017-05-10,2017-06-06,2017-06-26
O24302,L17159,45632,Closed-Lost,Todd Merritt,2017-05-14,2017-08-11,2017-09-10
O24303,L17163,7048,Closed-Lost,Mitchell Barnett,2017-04-28,2017-07-18,2017-08-13
O24304,L17164,8901,Closed-Lost,Timothy Price,2017-05-13,2017-06-25,2017-06-24
O24305,L17166,30039,Closed-Won,Brandi Smith,2017-04-28,2017-07-25,2017-08-10
O24306,L17167,20761,Closed-Lost,Jamie Kramer,2017-05-14,2017-08-04,2017-08-09
O24307,L17168,18454,Closed-Lost,Lisa Kramer,2017-05-02,2017-06-16,2017-07-01
O24308,L17169,28662,Closed-Won,Patricia Carpenter,2017-05-01,2017-06-03,2017-06-10
O24309,L17173,40221,Closed-Lost,Sherri Thomas,2017-05-17,2017-06-15,2017-07-10
O24310,L17174,51353,Closed-Lost,Christopher Malone,2017-05-06,2017-05-30,2017-05-30
O24311,L17179,24676,Closed-Won,Allison Chang,2017-05-03,2017-07-23,2017-07-20
O24312,L17181,6486,Closed-Lost,Stephanie Koch,2017-05-17,2017-07-30,2017-08-12
O24313,L17185,22060,Closed-Lost,Ian Wilson,2017-05-15,2017-08-03,2017-08-01
O24314,L17186,8882,Closed-Lost,Kimberly Santos,2017-05-18,2017-08-05,2017-08-03
O24315,L17187,94617,Closed-Lost,Kathryn Moran,2017-05-16,2017-07-05,2017-07-15
O24316,L17189,9436,Closed-Lost,Tyler Silva,2017-05-21,2017-07-11,2017-08-09
O24317,L17190,116183,Closed-Lost,Lauren Perez,2017-05-02,2017-06-26,2017-07-01
O24318,L17192,88626,Closed-Won,Judy Davidson,2017-05-11,2017-06-10,2017-06-10
O24319,L17194,7543,Closed-Lost,Miranda Petersen,2017-05-21,2017-07-11,2017-07-30
O24320,L17198,2954,Closed-Lost,Christina Huffman,2017-05-04,2017-07-14,2017-08-09
O24321,L17200,29674,Closed-Lost,Erin Ward,2017-05-07,2017-06-23,2017-07-15
O24322,L17202,7493,Closed-Lost,Tony Watson,2017-05-12,2017-07-17,2017-07-17
O24323,L17203,5420,Closed-Lost,Michael Colon,2017-05-10,2017-08-07,2017-08-06
O24324,L17204,4422,Closed-Lost,Shane Bennett,2017-05-10,2017-06-03,2017-06-07
O24325,L17205,35635,Closed-Won,William Ortiz,2017-05-23,2017-07-06,2017-07-23
